,dx,ht,natr,willr,rsi,roc,mom,mfi,adxr,obv,ad,bas,macd,cci,atr,r_3,r_2,r_1,width,cmo,slowd,slowk,hl,var,mabas,mabas2,amount,close,datetime,down_count,high,low,open,percent,settle,suspend,time,up_count,vol,wd,state
2017-01-17,45.3423611308,1,1.39397730193,-60.1211689237,35.4055495234,-1.13053326783,-11.76,28.3968500269,34.5756614553,22465943.0,-711421.46669,-0.00278322748021,2.91407831843,-160.005817603,20.2002644801,-0.582795136298,-0.832212834462,-0.523089339974,0.0237499784347,-29.1889009532,39.0796191326,44.259881994,-4.32067444749,76.2702760003,-0.00233808243635,-0.0124937103156,7057647616.0,1449.11,201701171500,18.0,1450.64,1431.38,1446.45,-0.5217236101,1456.71,0,1500,6.0,57770.0,2,4
2017-01-18,35.0075232029,1,1.3768171871,-61.8674269423,35.1046674084,-0.707600534814,-7.11,33.7334905002,34.8542849447,22412148.0,-727530.677217,-0.00312519550958,2.55407004207,-93.7934468678,19.9381027315,-0.89986342864,-0.590739934151,-0.0676505941776,0.0252940553161,-29.7906651831,43.4751657134,45.8566090572,-4.47285143609,52.6950759995,-0.00260045346076,-0.0128873324998,6336182784.0,1448.13,201701181500,15.0,1458.87,1442.34,1447.03,-0.0676277163,1449.11,0,1500,8.0,53795.0,2,4
2017-01-19,35.0075232029,1,1.34547830656,-60.8695652174,35.4422809409,-0.609915064696,-1.69,39.3319834298,35.139521333,22468618.0,-741844.110379,-0.00306541774166,2.42367634034,-87.3270055867,19.4918096792,-0.552076847941,-0.0289875079675,0.0386630862101,0.0264012039691,-29.1154381182,44.7266737848,44.0635303033,-4.66174933948,35.8640289991,-0.00275544155439,-0.013252583809,6675257344.0,1448.69,201701191500,7.0,1457.27,1443.58,1444.08,0.0386705613,1448.13,0,1500,14.0,56470.0,2,4
2017-01-20,27.5679899725,1,1.33079675587,-38.720598717,42.5826010655,-0.00684359644681,2.25,42.4734948177,34.472129123,22569882.0,-661768.64782,-0.00155096111788,3.19602767978,-37.2970813878,19.4445375593,0.825369003831,0.893019598008,0.854356511798,0.0245674672183,-14.8347978689,48.5897062459,55.8489793772,-4.35150720123,37.1724399999,-0.00235394807556,-0.0134909739257,10746135552.0,1461.12,201701201500,1.0,1463.09,1444.26,1444.26,0.8580165529,1448.69,0,1500,25.0,101264.0,3,3
2017-01-23,14.3672705557,1,1.29773417917,-32.7512473272,44.3684671665,0.532707265001,-10.18,42.4988818822,33.2757283619,22634961.0,-700108.554294,-0.000283317126848,3.90696540746,54.414104604,19.0049277336,1.12203333296,1.08337024675,0.229013734949,0.0239443852363,-11.2630656669,55.7963773157,67.4766222665,-4.76272035677,37.8299639998,-0.00166373775932,-0.0136117126306,7480008192.0,1464.47,201701231500,7.0,1474.41,1461.9,1461.95,0.2292761717,1461.12,0,1500,18.0,65079.0,4,3
2017-01-24,19.1883128563,1,1.26451154002,-47.3806129722,41.0025796854,0.493406297659,-24.87,37.0188653808,32.3235077141,22588882.0,-742583.61016,-0.000428439972885,3.79550478441,4.08082604615,18.4145757527,0.521180545983,-0.333175965815,-0.562189700765,0.0234857877311,-17.9948406292,65.1442658472,72.107195898,-4.90965169516,29.6816639998,-0.00125197183051,-0.0137068202493,5410305024.0,1456.26,201701241500,24.0,1466.58,1455.84,1465.17,-0.5606123717,1464.47,0,1500,2.0,46079.0,1,3
2017-01-25,20.2337636841,1,1.20129484317,-33.6988001655,42.4458376839,0.735431211286,-15.4,37.5729835444,31.7832096268,22627973.0,-725830.324446,-0.000219718201631,3.85053656728,1.67442930251,17.5242489132,-0.160279495938,-0.389293230887,0.172896469877,0.0235011784781,-15.1083246322,69.6729804023,69.4351230425,-5.50196452938,29.8416809998,-0.000907887287549,-0.0137558858125,4683840000.0,1458.78,201701251500,8.0,1460.48,1454.53,1456.29,0.173046022,1456.26,0,1500,16.0,39091.0,2,3
2017-01-26,8.10438400272,1,1.17041505228,-19.5679530201,46.0022438612,1.13136695911,6.07,44.7456431497,30.8932940704,22709034.0,-746738.235651,0.000561528257712,4.23949232521,88.964662941,17.147516848,0.0416446217894,0.603834322554,0.430937852677,0.0234508997547,-7.99551227755,70.4679653739,69.8615771812,-5.0425927444,36.9636809994,-0.000418082105795,-0.0137209045849,9228476416.0,1465.08,201701261500,4.0,1471.03,1461.57,1461.62,0.4318677251,1458.78,0,1500,23.0,81061.0,3,3
2017-02-03,16.3325712557,1,1.17202360801,-45.9941275168,40.5988894787,-0.591327201051,-11.53,44.4195592761,30.2105709316,22657958.0,-794764.922218,-0.000354825086672,3.60153895124,-2.25182553779,17.0234085017,-0.259906497512,-0.43280296739,-0.863740820066,0.0231349312115,-18.8022210426,68.2862959968,65.5621877666,-4.54601106994,36.3868409996,-0.000396996432754,-0.0137172119262,5995990528.0,1452.48,201702031500,21.0,1467.43,1452.02,1467.02,-0.8600212958,1465.08,0,1500,4.0,51076.0,1,3
2017-02-06,19.5649274685,1,1.13495807302,-42.5125838926,41.5725853579,-0.705374640655,-11.54,36.5698756616,29.7301975552,22717057.0,-779914.40427,-0.000661274109368,3.25521264823,-39.4958498339,16.503879323,-0.318580937645,-0.749518790322,0.114222029744,0.0234552176208,-16.8548292843,63.6148233796,55.4207051911,-5.00490265456,36.659004,-0.000485088991625,-0.0137112181744,6901969408.0,1454.14,201702061500,4.0,1457.79,1448.04,1454.54,0.1142872879,1452.48,0,1500,20.0,59099.0,2,3
